seed,coverage_pct,energy,makespan
0,15.526969291638066,178.75172810184378,1511.074056345648
1,15.880489161792635,186.02445094462962,1815.6817719149385
2,15.993980648229114,175.79248289606704,287.6885520268312
3,14.437588306689939,174.06601974119243,1026.6746021420424
4,15.142057132339575,183.20656246804342,935.9641817909343
5,15.041947104418071,194.16960182230977,1754.630489102651
6,14.72850207977497,192.09710704531577,1655.0517816358533
7,16.391739045768613,202.83948754078162,1072.4058573433579
8,15.865837428269517,180.23318162618543,225.12212607264692
9,16.104804596910235,200.34562011575508,1054.2737335463723
10,16.505758736266067,186.19088270397265,367.0946909246121
11,15.062040423769368,166.76766087382032,324.1937261887642
12,14.541383258580487,172.02249428657282,433.80805640518713
13,15.922974395650158,185.23880683781212,396.50466409409194
14,16.655843295575597,204.09703857006372,526.4920932623558
15,16.720320286126938,196.71330177950762,2308.045904962891
16,17.517088397601178,200.25905045017132,284.86890032466937
17,16.605723943298813,197.6253385340558,1111.4663252463865
18,16.371016853532417,217.48742130565248,463.21973814971045
19,16.930621041879096,186.84627758445015,2331.814418297381
20,15.417016740867068,171.4039465060038,546.3241710821696
21,15.289489033547365,170.83141096502817,464.26178744695
22,14.961710223768934,179.4790251774696,523.1643145460591
23,16.779826108986796,220.22726773082005,483.41508057668466
24,14.08215341229056,162.83770573488158,1165.0345616527063
25,14.893576313674883,185.11796316312916,1594.1798785416713
26,15.965955139379966,165.0443452601382,2140.9117641747744
27,15.535207978238546,176.4593403068635,994.4524132467552
28,13.556800386794364,159.8335819727669,525.9894797565734
29,16.506390993815895,204.09266519557644,943.4817168911236
